id,traditional,pinyin,english,topic,topic_english,part_of_speech,level,simplified,relative_freq_pct
1,名字,míngzi,Name,個人資料,Personal Information,(N),1,名字,0.00937861
2,姓,"xìng ",surname,個人資料,Personal Information,(VA),1,姓,0.0023697
3,姓名,"xìngmíng ",Name,個人資料,Personal Information,(N),1,姓名,0.00249806
4,生日,"shēngrì ",Birthday,個人資料,Personal Information,(N),1,生日,0.00582943
5,來,"lái ",Come,個人資料,Personal Information,(VA),1,来,0.201658
6,公園,"gōngyuán ",garden,個人資料,Personal Information,(N),1,公园,0.00422761
7,住,"zhù ",live,個人資料,Personal Information,(VA),1,住,0.0301391
8,國家,"guójiā ",country,個人資料,Personal Information,(N),1,国家,0.0719478
9,中國,"zhōngguó ",China,個人資料,Personal Information,(N),1,中国,0.147705
10,台灣,táiwān,Taiwan,個人資料,Personal Information,(N),1,台湾,0.0149486
11,美國,"měiguó ",USA,個人資料,Personal Information,(N),1,美国,0.0591834
12,日本,"rìběn ",Japan,個人資料,Personal Information,(N),1,日本,0.029865
13,人,"rén ",people,個人資料,Personal Information,(N),1,人,0.347903
14,城市,"chéngshì ",City,個人資料,Personal Information,(N),1,城市,0.0387444
15,街,"jiē ",street,個人資料,Personal Information,(N),1,街,0.00880805
16,路,"lù ",road,個人資料,Personal Information,(N),1,路,0.030935
17,號,"hào ",Number,個人資料,Personal Information,(M),1,号,0.0391091
18,號碼,"hàomǎ ",Number,個人資料,Personal Information,(N),1,号码,0.00377124
19,電話,"diànhuà ",Telephone,個人資料,Personal Information,(N),1,电话,0.0237417
20,手機,"shǒujī ",cell phone,個人資料,Personal Information,(N),1,手机,
21,打電話,"dǎdiànhuà ",Call up,個人資料,Personal Information,(VA),1,打电话,0.00604693
22,電子郵件,diàn​zǐ​yóu​jiàn,e-mail,個人資料,Personal Information,(N),1,电子邮件,0.000848726
23,結婚,"jiéhūn ",marry,個人資料,Personal Information,(VA),1,结婚,0.00910332
25,去年,"qùnián ",last year,個人資料,Personal Information,(N),1,去年,0.0281585
26,明年,"míngnián ",next year,個人資料,Personal Information,(N),1,明年,0.0083812
27,今年,"jīnnián ",This year,個人資料,Personal Information,(N),1,今年,0.0515934
28,月,"yuè ",month,個人資料,Personal Information,(N),1,月,0.217651
29,日,"rì ",day,個人資料,Personal Information,(N),1,日,0.224447
30,時候,"shíhòu ",when,個人資料,Personal Information,(N),1,时候,0.0684498
31,小時,"xiǎoshí ",Hour,個人資料,Personal Information,(N),1,小时,0.0245854
32,點,diǎn,point,個人資料,Personal Information,(M),1,点,
33,點鐘,diǎnzhōng,o'clock,個人資料,Personal Information,(M),1,点钟,0.000101344
34,"分 ",fēn,point,個人資料,Personal Information,(M),1,"分 ",
35,分鐘,fēnzhōng,minute,個人資料,Personal Information,(N),1,分钟,0.0202472
36,早上(ㄕㄤ˙),"zǎoshang ",morning(ㄕㄤ˙),個人資料,Personal Information,(N),1,早上(ㄕㄤ˙),
